rodada,day,early,normal,afternoon,R1,R2,R3,R4,list_rivalry_1,list_rivalry_2,list_rivalry_3,publico
1,1,0,1,0,,,,,0,1,0,25634.0
3,1,0,1,0,0.0,1.0,,,0,0,1,17135.0
5,1,0,1,0,0.0,0.0,0.0,1.0,1,0,0,20373.0
7,1,0,1,0,0.0,1.0,0.0,0.0,0,1,0,14267.0
9,1,0,1,0,3.0,1.0,0.0,1.0,0,0,1,7250.0
11,1,0,1,0,1.0,1.0,3.0,1.0,1,0,0,23218.0
13,1,0,1,0,0.0,1.0,1.0,1.0,0,1,0,27676.0
15,1,0,1,0,0.0,0.0,0.0,1.0,0,0,1,35518.0
16,0,1,0,0,0.0,0.0,0.0,0.0,0,0,1,19468.0
19,1,0,1,0,0.0,0.0,0.0,0.0,0,1,0,20593.0
21,1,0,1,0,0.0,1.0,0.0,0.0,0,1,0,28414.0
23,1,0,1,0,0.0,0.0,0.0,1.0,0,1,0,16259.0
25,1,0,1,0,1.0,1.0,0.0,0.0,0,0,1,9142.0
27,1,0,1,0,1.0,1.0,1.0,1.0,1,0,0,16362.0
29,1,0,1,0,1.0,1.0,1.0,1.0,0,1,0,11930.0
31,1,0,1,0,1.0,1.0,1.0,1.0,0,0,1,13000.0
33,0,1,0,0,0.0,0.0,1.0,1.0,0,0,1,17118.0
36,1,0,1,0,1.0,1.0,0.0,0.0,0,1,0,23583.0
37,1,0,1,0,0.0,1.0,1.0,0.0,0,0,1,6147.0
2,1,0,1,0,0.0,,,,0,1,0,8662.0
4,1,0,1,0,1.0,0.0,0.0,,0,0,1,8390.0
6,1,0,1,0,1.0,0.0,1.0,0.0,0,1,0,13983.0
8,0,1,0,0,0.0,0.0,1.0,0.0,0,0,1,13649.0
10,0,0,0,1,1.0,1.0,0.0,0.0,0,1,0,9525.0
12,0,1,0,0,0.0,0.0,1.0,1.0,0,0,1,6933.0
15,1,0,1,0,0.0,0.0,0.0,0.0,1,0,0,26283.0
16,1,0,0,1,0.0,0.0,0.0,0.0,0,0,1,13101.0
18,1,0,1,0,0.0,0.0,0.0,0.0,0,1,0,11100.0
20,0,0,0,1,0.0,0.0,0.0,0.0,0,1,0,9729.0
22,0,1,0,0,0.0,0.0,0.0,0.0,0,0,1,42000.0
24,1,0,1,0,0.0,0.0,0.0,0.0,1,0,0,25670.0
26,1,0,1,0,0.0,1.0,0.0,0.0,0,1,0,26026.0
28,1,0,1,0,0.0,1.0,0.0,1.0,0,0,1,6765.0
30,1,0,1,0,0.0,1.0,0.0,1.0,0,0,1,26527.0
32,1,0,1,0,0.0,0.0,0.0,1.0,0,1,0,15724.0
33,1,0,1,0,0.0,0.0,0.0,0.0,0,0,1,25321.0
36,1,0,1,0,0.0,0.0,0.0,0.0,0,1,0,7840.0
38,1,0,1,0,0.0,0.0,0.0,0.0,1,0,0,6379.0
1,1,0,1,0,,,,,0,1,0,7008.0
3,0,0,1,0,0.0,0.0,,,0,1,0,6900.0
6,1,0,1,0,0.0,0.0,0.0,0.0,0,0,1,6731.0
8,1,0,1,0,0.0,0.0,0.0,0.0,0,0,1,20746.0
9,1,0,1,0,0.0,0.0,0.0,0.0,1,0,0,17122.0
11,1,0,1,0,1.0,1.0,0.0,0.0,0,1,0,34621.0
13,1,0,0,1,0.0,0.0,1.0,1.0,0,0,1,5095.0
15,0,0,0,1,0.0,0.0,0.0,0.0,0,1,0,5053.0
17,0,0,0,1,1.0,0.0,0.0,0.0,0,0,1,4094.0
19,1,0,1,0,0.0,0.0,1.0,0.0,1,0,0,19471.0
21,1,0,1,0,0.0,1.0,0.0,0.0,0,0,1,4241.0
23,1,0,1,0,0.0,0.0,0.0,1.0,0,0,1,18348.0
24,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,11175.0
26,1,0,1,0,1.0,1.0,0.0,0.0,0,1,0,16990.0
29,0,1,0,0,0.0,0.0,1.0,1.0,0,1,0,4634.0
31,0,0,1,0,1.0,0.0,0.0,0.0,1,0,0,7525.0
33,1,0,1,0,0.0,0.0,1.0,0.0,0,0,1,11352.0
35,1,0,0,1,1.0,0.0,0.0,0.0,0,0,1,5794.0
37,1,0,1,0,0.0,0.0,1.0,0.0,0,1,0,4629.0
2,0,1,0,0,1.0,,,,0,1,0,2344.0
3,1,0,1,0,0.0,1.0,,,0,1,0,4469.0
6,1,0,1,0,0.0,0.0,0.0,0.0,1,0,0,9669.0
8,1,0,1,0,0.0,0.0,0.0,0.0,0,0,1,6567.0
10,0,1,0,0,1.0,0.0,0.0,0.0,0,0,1,19075.0
13,1,0,1,0,1.0,0.0,0.0,1.0,0,0,1,23322.0
14,0,0,1,0,1.0,1.0,0.0,0.0,0,1,0,15047.0
17,1,0,1,0,0.0,0.0,1.0,1.0,0,1,0,28591.0
18,0,1,0,0,1.0,0.0,0.0,1.0,0,0,1,9682.0
20,0,0,0,1,0.0,0.0,1.0,0.0,0,1,0,23679.0
23,1,0,1,0,0.0,0.0,0.0,0.0,0,0,1,25707.0
24,1,0,0,1,0.0,0.0,0.0,0.0,0,0,1,9673.0
26,1,0,1,0,1.0,0.0,0.0,0.0,0,1,0,14418.0
28,1,0,1,0,0.0,0.0,1.0,0.0,1,0,0,31720.0
30,1,0,0,1,0.0,0.0,0.0,0.0,1,0,0,15152.0
31,1,0,0,1,1.0,0.0,0.0,0.0,0,1,0,10743.0
34,0,0,0,1,0.0,0.0,0.0,1.0,0,0,1,10363.0
35,1,0,0,1,1.0,0.0,0.0,0.0,0,0,1,14147.0
38,1,0,1,0,0.0,1.0,0.0,1.0,0,0,1,34354.0
2,1,0,1,0,0.0,,,,0,1,0,9995.0
4,1,0,0,1,0.0,1.0,0.0,,0,0,1,4992.0
7,1,0,1,0,0.0,0.0,0.0,0.0,0,0,1,2759.0
9,1,0,1,0,0.0,1.0,0.0,0.0,0,1,0,21969.0
11,1,0,0,1,0.0,0.0,0.0,1.0,0,0,1,1594.0
13,1,0,1,0,3.0,0.0,0.0,0.0,0,1,0,13535.0
15,1,0,1,0,0.0,1.0,3.0,0.0,1,0,0,29185.0
17,1,0,1,0,0.0,0.0,0.0,1.0,0,0,1,18450.0
18,1,0,1,0,0.0,0.0,0.0,0.0,0,1,0,14285.0
20,0,0,0,1,0.0,0.0,0.0,0.0,0,1,0,24857.0
22,0,0,0,1,0.0,0.0,0.0,0.0,0,0,1,5216.0
24,0,1,0,0,1.0,0.0,0.0,0.0,0,0,1,7056.0
25,1,1,0,0,0.0,1.0,0.0,0.0,0,1,0,12498.0
27,0,1,0,0,0.0,0.0,0.0,1.0,0,1,0,10200.0
29,1,0,1,0,1.0,0.0,0.0,0.0,0,0,1,3059.0
31,1,0,0,1,0.0,1.0,1.0,0.0,1,0,0,42391.0
33,1,0,0,1,0.0,0.0,0.0,1.0,0,0,1,3187.0
35,0,1,0,0,0.0,0.0,0.0,0.0,0,0,1,8250.0
38,1,0,1,0,0.0,0.0,0.0,0.0,0,1,0,3694.0
