,index,ID,rodada,hora,dia,mandante,visitante,vencedor
0,5367,5368,1,16:01,Sabado,Flamengo,Sport,Flamengo
2,5388,5389,3,20:59,Quarta-feira,Flamengo,Chapecoense,-
4,5415,5416,5,20:59,Quinta-feira,Flamengo,Vitoria,Flamengo
5,5423,5424,6,16:02,Domingo,Flamengo,Palmeiras,Palmeiras
8,5452,5453,9,16:00,Domingo,Flamengo,Sao Paulo,-
10,5469,5470,11,16:00,Domingo,Flamengo,Fluminense,Fluminense
11,5476,5477,12,19:30,Quarta-feira,Flamengo,Internacional,Flamengo
13,5500,5501,14,11:00,Domingo,Flamengo,Atletico-MG,Flamengo
15,5525,5526,16,20:00,Segunda-feira,Flamengo,America-MG,Flamengo
18,5546,5547,19,18:30,Sabado,Flamengo,Athletico-PR,Flamengo
20,5568,5569,21,11:01,Domingo,Flamengo,Gremio,Flamengo
22,5591,5592,23,21:47,Quarta-feira,Flamengo,Ponte Preta,Flamengo
25,5617,5618,26,11:03,Domingo,Flamengo,Figueirense,Flamengo
26,5633,5634,27,16:02,Domingo,Flamengo,Cruzeiro,Flamengo
28,5653,5654,29,17:00,Domingo,Flamengo,Santa Cruz,Flamengo
31,5678,5679,32,17:00,Domingo,Flamengo,Corinthians,-
33,5696,5697,34,17:00,Sabado,Flamengo,Botafogo-RJ,-
35,5722,5723,36,19:29,Domingo,Flamengo,Coritiba,-
36,5731,5732,37,17:00,Domingo,Flamengo,Santos,Flamengo
38,5745,5746,1,16:01,Sabado,Flamengo,Atletico-MG,-
41,5778,5779,4,11:01,Domingo,Flamengo,Botafogo-RJ,-
44,5809,5810,7,21:00,Quarta-feira,Flamengo,Ponte Preta,Flamengo
46,5834,5835,9,21:00,Quinta-feira,Flamengo,Chapecoense,Flamengo
48,5850,5851,11,16:01,Domingo,Flamengo,Sao Paulo,Flamengo
50,5873,5874,13,19:31,Quinta-feira,Flamengo,Gremio,Gremio
52,5891,5892,15,21:45,Quarta-feira,Flamengo,Palmeiras,-
53,5896,5897,16,19:00,Sabado,Flamengo,Coritiba,Flamengo
56,5927,5928,19,11:01,Domingo,Flamengo,Vitoria,Vitoria
58,5946,5947,21,19:00,Sabado,Flamengo,Atletico-GO,Flamengo
