rodada,day,early,normal,afternoon,R1,R2,R3,R4,list_rivalry_1,list_rivalry_2,list_rivalry_3,publico
1,1,0,1,0,,,,,0,1,0,
3,1,0,1,0,1.0,1.0,,,0,0,1,
5,1,0,1,0,0.0,3.0,1.0,1.0,0,1,0,
7,1,0,1,0,3.0,1.0,0.0,3.0,0,0,1,
8,0,0,1,0,0.0,3.0,1.0,0.0,1,0,0,
10,0,0,1,0,3.0,3.0,0.0,3.0,0,0,1,
12,1,0,1,0,0.0,1.0,3.0,3.0,1,0,0,
14,1,0,1,0,0.0,1.0,0.0,1.0,0,0,1,
16,0,0,1,0,0.0,3.0,0.0,1.0,1,0,0,
19,1,0,1,0,0.0,0.0,1.0,0.0,0,1,0,
21,1,0,1,0,0.0,1.0,0.0,0.0,0,0,1,
23,1,0,1,0,3.0,1.0,0.0,1.0,1,0,0,
25,1,0,1,0,1.0,1.0,3.0,1.0,1,0,0,
28,0,0,1,0,1.0,1.0,0.0,1.0,0,0,1,
30,1,0,1,0,1.0,3.0,1.0,1.0,0,1,0,
32,0,0,0,1,1.0,3.0,1.0,3.0,1,0,0,
34,1,0,0,1,1.0,1.0,1.0,3.0,0,0,1,
36,1,0,0,1,0.0,0.0,1.0,1.0,0,0,1,
37,1,0,1,0,3.0,0.0,0.0,1.0,0,1,0,
1,1,0,1,0,,,,,0,0,1,
3,1,0,1,0,1.0,3.0,,,1,0,0,
5,1,0,1,0,1.0,1.0,1.0,3.0,1,0,0,
6,1,0,1,0,1.0,1.0,1.0,1.0,1,0,0,
8,0,0,0,1,3.0,3.0,1.0,1.0,0,1,0,
11,1,0,0,1,1.0,3.0,3.0,3.0,0,0,1,
13,1,0,1,0,3.0,1.0,1.0,3.0,0,1,0,
15,1,0,1,0,3.0,3.0,3.0,1.0,0,0,1,
17,0,0,1,0,1.0,3.0,3.0,3.0,0,0,1,
19,1,0,1,0,1.0,0.0,1.0,3.0,1,0,0,
21,1,0,1,0,0.0,1.0,1.0,0.0,0,0,1,
23,1,0,1,0,0.0,0.0,0.0,1.0,0,0,1,
26,1,0,1,0,1.0,1.0,0.0,0.0,0,0,1,
28,1,0,1,0,3.0,3.0,1.0,1.0,1,0,0,
29,0,0,0,1,3.0,3.0,3.0,1.0,1,0,0,
31,1,0,1,0,3.0,1.0,3.0,3.0,0,1,0,
33,1,0,1,0,0.0,1.0,3.0,1.0,0,1,0,
35,0,0,1,0,0.0,3.0,0.0,1.0,0,0,1,
37,1,0,1,0,1.0,1.0,0.0,3.0,0,1,0,
2,1,0,1,0,1.0,,,,0,1,0,
4,1,0,1,0,1.0,1.0,1.0,,0,0,1,
5,1,0,1,0,3.0,1.0,1.0,1.0,0,1,0,
7,1,0,1,0,0.0,3.0,3.0,1.0,0,0,1,
10,0,0,0,1,3.0,0.0,3.0,0.0,1,0,0,
12,0,0,1,0,0.0,0.0,3.0,0.0,0,0,1,
14,0,0,0,1,0.0,1.0,0.0,0.0,1,0,0,
16,1,0,0,1,3.0,3.0,0.0,1.0,0,0,1,
18,1,0,1,0,0.0,3.0,3.0,3.0,1,0,0,
20,0,0,1,0,1.0,3.0,0.0,3.0,0,0,1,
22,0,1,0,0,0.0,1.0,1.0,3.0,0,0,1,
