,rodada,dia_nobre,HB1,HB2,R1,R2,R3,R4,list_rivalry_1,list_rivalry_2
0,1,1,0,1,,,,,0,0
2,3,0,1,0,0.0,3.0,,,0,0
4,5,0,1,0,3.0,1.0,0.0,3.0,0,0
5,6,1,0,1,3.0,3.0,1.0,0.0,0,1
8,9,1,0,1,3.0,0.0,0.0,3.0,0,1
10,11,1,0,1,3.0,1.0,3.0,0.0,1,1
11,12,0,0,1,0.0,3.0,1.0,3.0,0,1
13,14,1,0,1,0.0,3.0,0.0,3.0,0,1
15,16,0,0,1,1.0,3.0,0.0,3.0,0,0
18,19,1,1,0,1.0,3.0,3.0,1.0,0,0
20,21,1,0,1,0.0,3.0,1.0,3.0,0,1
22,23,0,1,0,3.0,3.0,0.0,3.0,0,0
25,26,1,0,1,1.0,3.0,3.0,3.0,0,0
26,27,1,0,1,3.0,1.0,3.0,3.0,0,1
28,29,1,0,1,1.0,3.0,3.0,1.0,0,0
31,32,1,0,1,0.0,3.0,3.0,1.0,0,1
33,34,1,0,1,1.0,1.0,0.0,3.0,1,1
35,36,1,1,0,3.0,1.0,1.0,1.0,0,0
36,37,1,0,1,1.0,3.0,1.0,1.0,0,1
38,1,1,0,1,1.0,3.0,1.0,3.0,0,1
41,4,1,0,1,1.0,3.0,1.0,1.0,1,1
44,7,0,1,0,1.0,0.0,1.0,1.0,0,0
46,9,0,1,0,1.0,3.0,1.0,0.0,0,0
48,11,1,0,1,3.0,3.0,1.0,3.0,0,1
50,13,0,0,1,3.0,3.0,3.0,3.0,0,1
52,15,0,1,0,1.0,0.0,3.0,3.0,0,1
53,16,1,1,0,1.0,1.0,0.0,3.0,0,0
56,19,1,0,1,0.0,1.0,3.0,1.0,0,0
58,21,1,1,0,0.0,0.0,0.0,1.0,0,0
59,22,1,0,1,3.0,0.0,0.0,0.0,0,0
61,24,1,0,1,0.0,3.0,3.0,0.0,0,0
62,25,1,1,0,3.0,0.0,3.0,3.0,0,0
64,27,0,0,1,0.0,1.0,3.0,0.0,1,1
66,29,0,1,0,3.0,1.0,0.0,1.0,0,0
68,31,1,1,0,0.0,3.0,3.0,1.0,1,1
70,33,0,1,0,0.0,1.0,0.0,3.0,0,1
73,36,1,0,1,0.0,0.0,3.0,0.0,0,1
74,37,1,1,0,3.0,0.0,0.0,3.0,0,1
77,2,1,1,0,1.0,3.0,0.0,3.0,0,0
79,4,1,0,1,3.0,3.0,1.0,3.0,0,1
81,6,1,1,0,0.0,3.0,3.0,3.0,1,1
83,8,0,0,1,3.0,1.0,0.0,3.0,0,0
84,9,1,0,1,3.0,3.0,1.0,0.0,0,1
86,11,1,1,0,3.0,3.0,3.0,3.0,0,0
88,13,0,1,0,1.0,3.0,3.0,3.0,0,1
89,14,1,1,0,0.0,1.0,3.0,3.0,1,1
91,16,1,0,1,1.0,3.0,0.0,1.0,0,0
93,18,1,0,1,0.0,3.0,1.0,3.0,0,1
95,20,0,0,1,0.0,3.0,0.0,3.0,0,0
97,22,1,0,1,1.0,3.0,0.0,3.0,0,0
99,24,1,1,1,0.0,0.0,1.0,3.0,0,0
101,26,1,0,1,1.0,3.0,0.0,0.0,0,1
104,29,1,0,1,3.0,1.0,3.0,1.0,1,1
106,31,1,1,0,3.0,3.0,3.0,1.0,0,1
109,34,0,0,1,0.0,1.0,1.0,3.0,0,1
111,36,0,1,0,3.0,3.0,0.0,1.0,0,1
113,38,1,1,0,3.0,3.0,3.0,3.0,0,0
114,1,1,1,1,0.0,3.0,3.0,3.0,0,1
117,4,1,0,1,1.0,0.0,3.0,0.0,0,0
119,6,1,0,1,0.0,3.0,1.0,0.0,0,0
120,7,1,0,1,3.0,0.0,3.0,1.0,0,0
123,10,1,0,1,3.0,1.0,3.0,3.0,0,0
125,12,1,0,1,1.0,3.0,3.0,1.0,1,1
127,14,1,1,0,0.0,3.0,1.0,3.0,0,1
130,17,1,0,1,3.0,3.0,3.0,0.0,0,1
132,19,1,0,1,3.0,3.0,3.0,3.0,0,1
134,21,0,1,0,3.0,3.0,3.0,3.0,0,1
135,22,1,1,0,3.0,3.0,3.0,3.0,0,1
137,24,0,0,1,3.0,1.0,3.0,3.0,0,1
140,27,1,1,0,3.0,3.0,3.0,3.0,1,1
141,28,1,1,0,3.0,3.0,3.0,3.0,0,0
143,30,1,0,1,1.0,3.0,3.0,3.0,0,1
145,32,1,1,0,3.0,3.0,1.0,3.0,0,0
147,34,0,1,0,3.0,3.0,3.0,3.0,1,1
148,35,0,1,0,1.0,3.0,3.0,3.0,0,0
150,37,0,0,1,3.0,3.0,1.0,3.0,0,0
