"","index","ID","rodada","posicao","data","hora","dia","mandante","visitante","vencedor","mandante_placar","visitante_placar","R1","R2","R3","R4"
"0","5367","5368","1","","2016-05-14","16:01","Sabado","Flamengo","Sport","Flamengo","1","0","","","",""
"2","5388","5389","3","12","2016-05-25","20:59","Quarta-feira","Flamengo","Chapecoense","-","2","2","0","3","",""
"4","5415","5416","5","5","2016-06-02","20:59","Quinta-feira","Flamengo","Vitoria","Flamengo","1","0","3","1","0","3"
"5","5423","5424","6","4","2016-06-05","16:02","Domingo","Flamengo","Palmeiras","Palmeiras","1","2","3","3","1","0"
"8","5452","5453","9","7","2016-06-19","16:00","Domingo","Flamengo","Sao Paulo","-","2","2","3","0","0","3"
"10","5469","5470","11","4","2016-06-26","16:00","Domingo","Flamengo","Fluminense","Fluminense","1","2","3","1","3","0"
"11","5476","5477","12","6","2016-06-29","19:30","Quarta-feira","Flamengo","Internacional","Flamengo","1","0","0","3","1","3"
"13","5500","5501","14","8","2016-07-10","11:00","Domingo","Flamengo","Atletico-MG","Flamengo","2","0","0","3","0","3"
"15","5525","5526","16","6","2016-07-25","20:00","Segunda-feira","Flamengo","America-MG","Flamengo","2","1","1","3","0","3"
"18","5546","5547","19","6","2016-08-06","18:30","Sabado","Flamengo","Athletico-PR","Flamengo","1","0","1","3","3","1"
"20","5568","5569","21","6","2016-08-21","11:01","Domingo","Flamengo","Gremio","Flamengo","2","1","0","3","1","3"
"22","5591","5592","23","2","2016-09-07","21:47","Quarta-feira","Flamengo","Ponte Preta","Flamengo","2","1","3","3","0","3"
"25","5617","5618","26","2","2016-09-18","11:03","Domingo","Flamengo","Figueirense","Flamengo","2","0","1","3","3","3"
"26","5633","5634","27","2","2016-09-25","16:02","Domingo","Flamengo","Cruzeiro","Flamengo","2","1","3","1","3","3"
"28","5653","5654","29","2","2016-10-09","17:00","Domingo","Flamengo","Santa Cruz","Flamengo","3","0","1","3","3","1"
"31","5678","5679","32","2","2016-10-23","17:00","Domingo","Flamengo","Corinthians","-","2","2","0","3","3","1"
"33","5696","5697","34","2","2016-11-05","17:00","Sabado","Flamengo","Botafogo-RJ","-","0","0","1","1","0","3"
"35","5722","5723","36","3","2016-11-20","19:29","Domingo","Flamengo","Coritiba","-","2","2","3","1","1","1"
"36","5731","5732","37","3","2016-11-27","17:00","Domingo","Flamengo","Santos","Flamengo","2","0","1","3","1","1"
"38","5745","5746","1","","2017-05-13","16:01","Sabado","Flamengo","Atletico-MG","-","1","1","1","3","1","3"
"41","5778","5779","4","10","2017-06-04","11:01","Domingo","Flamengo","Botafogo-RJ","-","0","0","1","3","1","1"
"44","5809","5810","7","14","2017-06-14","21:00","Quarta-feira","Flamengo","Ponte Preta","Flamengo","2","0","1","0","1","1"
"46","5834","5835","9","8","2017-06-22","21:00","Quinta-feira","Flamengo","Chapecoense","Flamengo","5","1","1","3","1","0"
"48","5850","5851","11","3","2017-07-02","16:01","Domingo","Flamengo","Sao Paulo","Flamengo","2","0","3","3","1","3"
"50","5873","5874","13","2","2017-07-13","19:31","Quinta-feira","Flamengo","Gremio","Gremio","0","1","3","3","3","3"
"52","5891","5892","15","3","2017-07-19","21:45","Quarta-feira","Flamengo","Palmeiras","-","2","2","1","0","3","3"
"53","5896","5897","16","4","2017-07-22","19:00","Sabado","Flamengo","Coritiba","Flamengo","2","1","1","1","0","3"
"56","5927","5928","19","5","2017-08-06","11:01","Domingo","Flamengo","Vitoria","Vitoria","0","2","0","1","3","1"
"58","5946","5947","21","5","2017-08-19","19:00","Sabado","Flamengo","Atletico-GO","Flamengo","2","0","0","0","0","1"
"59","5960","5961","22","5","2017-08-27","16:00","Domingo","Flamengo","Athletico-PR","Flamengo","2","0","3","0","0","0"
"61","5982","5983","24","5","2017-09-17","16:00","Domingo","Flamengo","Sport","Flamengo","2","0","0","3","3","0"
"62","5985","5986","25","5","2017-09-23","18:59","Sabado","Flamengo","Avai","-","1","1","3","0","3","3"
"64","6012","6023","27","7","2017-10-12","17:01","Quinta-feira","Flamengo","Fluminense","-","1","1","0","1","3","0"
"66","6033","6034","29","6","2017-10-19","21:00","Quinta-feira","Flamengo","Bahia","Flamengo","4","1","3","1","0","1"
"68","6046","6047","31","7","2017-10-28","19:00","Sabado","Flamengo","Vasco","-","0","0","0","3","3","1"
"70","6070","6071","33","7","2017-11-08","21:45","Quarta-feira","Flamengo","Cruzeiro","Flamengo","2","0","0","1","0","3"
"73","6096","6097","36","7","2017-11-19","17:00","Domingo","Flamengo","Corinthians","Flamengo","3","0","0","0","3","0"
"74","6112","6113","37","6","2017-11-26","19:00","Domingo","Flamengo","Santos","Santos","1","2","3","0","0","3"
"77","6136","6137","2","9","2018-04-21","19:00","Sabado","Flamengo","America-MG","Flamengo","2","0","1","3","0","3"
"79","6158","6159","4","1","2018-05-06","16:00","Domingo","Flamengo","Internacional","Flamengo","2","0","3","3","1","3"
"81","6176","6177","6","1","2018-05-19","19:01","Sabado","Flamengo","Vasco","-","1","1","0","3","3","3"
"83","6202","6203","8","1","2018-05-31","16:00","Quinta-feira","Flamengo","Bahia","Flamengo","2","0","3","1","0","3"
"84","6209","6210","9","1","2018-06-03","16:00","Domingo","Flamengo","Corinthians","Flamengo","1","0","3","3","1","0"
"86","6233","6234","11","1","2018-06-10","19:00","Domingo","Flamengo","Parana","Flamengo","2","0","3","3","3","3"
"88","6249","6250","13","1","2018-07-18","21:46","Quarta-feira","Flamengo","Sao Paulo","Sao Paulo","0","1","1","3","3","3"
"89","6255","6256","14","1","2018-07-21","19:00","Sabado","Flamengo","Botafogo-RJ","Flamengo","2","0","0","1","3","3"
"91","6278","6279","16","1","2018-07-29","16:00","Domingo","Flamengo","Sport","Flamengo","4","1","1","3","0","1"
"93","6300","6311","18","2","2018-08-12","16:00","Domingo","Flamengo","Cruzeiro","Flamengo","1","0","0","3","1","3"
"95","6322","6303","20","3","2018-08-23","19:30","Quinta-feira","Flamengo","Vitoria","Flamengo","1","0","0","3","0","3"
"97","6339","6340","22","3","2018-09-02","11:01","Domingo","Flamengo","Ceara","Ceara","0","1","1","3","0","3"
"99","6357","6358","24","4","2018-09-08","21:27","Sabado","Flamengo","Chapecoense","Flamengo","2","0","0","0","1","3"
"101","6378","6379","26","4","2018-09-23","16:00","Domingo","Flamengo","Atletico-MG","Flamengo","2","1","1","3","0","0"
"104","6405","6406","29","3","2018-10-13","17:00","Sabado","Flamengo","Fluminense","Flamengo","3","0","3","1","3","1"
"106","6431","6432","31","2","2018-10-27","19:00","Sabado","Flamengo","Palmeiras","-","1","1","3","3","3","1"
"109","6462","6463","34","3","2018-11-15","17:00","Quinta-feira","Flamengo","Santos","Flamengo","1","0","0","1","1","3"
"111","6479","6480","36","2","2018-11-21","21:45","Quarta-feira","Flamengo","Gremio","Flamengo","2","0","3","3","0","1"
"113","6495","6496","38","2","2018-12-01","19:00","Sabado","Flamengo","Athletico-PR","Athletico-PR","1","2","3","3","3","3"
"114","6508","6509","1","","2019-04-27","21:00","Sabado","Flamengo","Cruzeiro","Flamengo","3","1","0","3","3","3"
"117","6538","6539","4","9","2019-05-12","11:00","Domingo","Flamengo","Chapecoense","Flamengo","2","1","1","0","3","0"
"119","6557","6558","6","9","2019-05-26","16:02","Domingo","Flamengo","Athletico-PR","Flamengo","3","2","0","3","1","0"
"120","6565","6566","7","6","2019-06-01","16:01","Sabado","Flamengo","Fortaleza","Flamengo","2","0","3","0","3","1"
"123","6599","6600","10","3","2019-07-14","11:00","Domingo","Flamengo","Goias","Flamengo","6","1","3","1","3","3"
"125","6620","6621","12","3","2019-07-28","15:59","Domingo","Flamengo","Botafogo-RJ","Flamengo","3","2","1","3","3","1"
"127","6637","6638","14","3","2019-08-10","18:59","Sabado","Flamengo","Gremio","Flamengo","3","1","0","3","1","3"
"130","6670","6671","17","1","2019-09-01","16:00","Domingo","Flamengo","Palmeiras","Flamengo","3","0","3","3","3","0"
"132","6685","6686","19","1","2019-09-14","17:01","Sabado","Flamengo","Santos","Flamengo","1","0","3","3","3","3"
"134","6707","6708","21","1","2019-09-25","21:30","Quarta-feira","Flamengo","Internacional","Flamengo","3","1","3","3","3","3"
"135","6715","6716","22","1","2019-09-28","19:00","Sabado","Flamengo","Sao Paulo","-","0","0","3","3","3","3"
"137","6744","6745","24","1","2019-10-10","20:00","Quinta-feira","Flamengo","Atletico-MG","Flamengo","3","1","3","1","3","3"
"140","6770","6771","27","1","2019-10-20","18:00","Domingo","Flamengo","Fluminense","Flamengo","2","0","3","3","3","3"
"141","6784","6785","28","1","2019-10-27","19:00","Domingo","Flamengo","CSA","Flamengo","1","0","3","3","3","3"
"143","6799","6800","30","1","2019-11-03","16:00","Domingo","Flamengo","Corinthians","Flamengo","4","1","1","3","3","3"
"145","6820","6821","32","1","2019-11-10","18:00","Domingo","Flamengo","Bahia","Flamengo","3","1","3","3","1","3"
"147","6835","6826","34","1","2019-11-13","21:30","Quarta-feira","Flamengo","Vasco","-","4","4","3","3","3","3"
"148","6849","6850","35","1","2019-11-27","21:31","Quarta-feira","Flamengo","Ceara","Flamengo","4","1","1","3","3","3"
"150","6874","6875","37","1","2019-12-05","20:03","Quinta-feira","Flamengo","Avai","Flamengo","6","1","3","3","1","3"
