rodada,day,early,normal,afternoon,R1,R2,R3,R4,list_rivalry_1,list_rivalry_2,list_rivalry_3,publico
1,1,0,1,0,,,,,0,1,0,11195.0
3,1,0,1,0,1.0,1.0,,,0,0,1,7330.0
5,1,0,1,0,0.0,3.0,1.0,1.0,0,1,0,10983.0
7,1,0,1,0,3.0,1.0,0.0,3.0,0,0,1,11855.0
8,0,0,1,0,0.0,3.0,1.0,0.0,1,0,0,19313.0
10,0,0,1,0,3.0,3.0,0.0,3.0,0,0,1,14051.0
12,1,0,1,0,0.0,1.0,3.0,3.0,1,0,0,57035.0
14,1,0,1,0,0.0,1.0,0.0,1.0,0,0,1,26723.0
16,0,0,1,0,0.0,3.0,0.0,1.0,1,0,0,12122.0
19,1,0,1,0,0.0,0.0,1.0,0.0,0,1,0,41007.0
21,1,0,1,0,0.0,1.0,0.0,0.0,0,0,1,5735.0
23,1,0,1,0,3.0,1.0,0.0,1.0,1,0,0,28911.0
25,1,0,1,0,1.0,1.0,3.0,1.0,1,0,0,13597.0
28,0,0,1,0,1.0,1.0,0.0,1.0,0,0,1,10015.0
30,1,0,1,0,1.0,3.0,1.0,1.0,0,1,0,15678.0
32,0,0,0,1,1.0,3.0,1.0,3.0,1,0,0,12094.0
34,1,0,0,1,1.0,1.0,1.0,3.0,0,0,1,9026.0
36,1,0,0,1,0.0,0.0,1.0,1.0,0,0,1,39920.0
37,1,0,1,0,3.0,0.0,0.0,1.0,0,1,0,16985.0
1,1,0,1,0,,,,,0,0,1,5973.0
3,1,0,1,0,1.0,3.0,,,1,0,0,42000.0
5,1,0,1,0,1.0,1.0,1.0,3.0,1,0,0,20429.0
6,1,0,1,0,1.0,1.0,1.0,1.0,1,0,0,16870.0
8,0,0,0,1,3.0,3.0,1.0,1.0,0,1,0,18418.0
11,1,0,0,1,1.0,3.0,3.0,3.0,0,0,1,6154.0
13,1,0,1,0,3.0,1.0,1.0,3.0,0,1,0,28793.0
15,1,0,1,0,3.0,3.0,3.0,1.0,0,0,1,28930.0
17,0,0,1,0,1.0,3.0,3.0,3.0,0,0,1,10278.0
19,1,0,1,0,1.0,0.0,1.0,3.0,1,0,0,33206.0
21,1,0,1,0,0.0,1.0,1.0,0.0,0,0,1,13538.0
23,1,0,1,0,0.0,0.0,0.0,1.0,0,0,1,7846.0
26,1,0,1,0,1.0,1.0,0.0,0.0,0,0,1,9445.0
28,1,0,1,0,3.0,3.0,1.0,1.0,1,0,0,25513.0
29,0,0,0,1,3.0,3.0,3.0,1.0,1,0,0,22573.0
31,1,0,1,0,3.0,1.0,3.0,3.0,0,1,0,18257.0
33,1,0,1,0,0.0,1.0,3.0,1.0,0,1,0,39842.0
35,0,0,1,0,0.0,3.0,0.0,1.0,0,0,1,0.0
37,1,0,1,0,1.0,1.0,0.0,3.0,0,1,0,12911.0
2,1,0,1,0,1.0,,,,0,1,0,19274.0
4,1,0,1,0,1.0,1.0,1.0,,0,0,1,6142.0
5,1,0,1,0,3.0,1.0,1.0,1.0,0,1,0,17373.0
7,1,0,1,0,0.0,3.0,3.0,1.0,0,0,1,6645.0
10,0,0,0,1,3.0,0.0,3.0,0.0,1,0,0,14897.0
12,0,0,1,0,0.0,0.0,3.0,0.0,0,0,1,8184.0
14,0,0,0,1,0.0,1.0,0.0,0.0,1,0,0,39060.0
