"","data","rodada","publico","time_man","time_vis"
"0","2003-03-29","1","","Guarani","Vasco da Gama"
"1","2003-03-29","1","","Atlético-PR","Grêmio"
"2","2003-03-30","1","","Flamengo","Coritiba FC"
"3","2003-03-30","1","","Goiás EC","Paysandu SC"
"4","2003-03-30","1","","Internacional","Ponte Preta"
"5","2003-03-30","1","","Criciúma EC","Fluminense"
"6","2003-03-30","1","","Juventude","São Paulo"
"7","2003-03-30","1","","Fortaleza","EC Bahia"
"8","2003-03-30","1","","Cruzeiro","São Caetano"
"9","2003-03-30","1","","EC Vitória","Figueirense FC"
"10","2003-03-30","1","","Santos FC","Paraná"
"11","2003-03-30","1","","Corinthians","Atlético-MG"
"12","2003-04-05","2","","Fluminense","Fortaleza"
"13","2003-04-05","2","","Atlético-MG","Santos FC"
"14","2003-04-05","2","","Coritiba FC","Internacional"
"15","2003-04-05","2","","Grêmio","Guarani"
"16","2003-04-06","2","","EC Bahia","Flamengo"
"17","2003-04-06","2","","Figueirense FC","Corinthians"
"18","2003-04-06","2","","Paysandu SC","EC Vitória"
"19","2003-04-06","2","","Ponte Preta","Juventude"
"20","2003-04-06","2","","Paraná","Atlético-PR"
"21","2003-04-06","2","","São Caetano","Criciúma EC"
"22","2003-04-06","2","","São Paulo","Cruzeiro"
"23","2003-04-06","2","","Vasco da Gama","Goiás EC"
"24","2003-04-12","3","","Internacional","EC Bahia"
"25","2003-04-12","3","","Santos FC","Figueirense FC"
"26","2003-04-12","3","","Atlético-PR","Atlético-MG"
"27","2003-04-12","3","","Corinthians","Paysandu SC"
"28","2003-04-13","3","","EC Vitória","Vasco da Gama"
"29","2003-04-13","3","","Criciúma EC","São Paulo"
"30","2003-04-13","3","","Fortaleza","São Caetano"
"31","2003-04-13","3","","Juventude","Coritiba FC"
"32","2003-04-13","3","","Guarani","Paraná"
"33","2003-04-13","3","","Goiás EC","Grêmio"
"34","2003-04-13","3","","Cruzeiro","Ponte Preta"
"35","2003-04-13","3","","Flamengo","Fluminense"
"36","2003-04-10","4","","Paysandu SC","Santos FC"
"37","2003-04-17","4","","EC Bahia","Juventude"
"38","2003-04-17","4","","Grêmio","EC Vitória"
"39","2003-04-17","4","","Atlético-MG","Guarani"
"40","2003-04-17","4","","Figueirense FC","Atlético-PR"
"41","2003-04-17","4","","Ponte Preta","Criciúma EC"
"42","2003-04-17","4","","São Caetano","Flamengo"
"43","2003-04-17","4","","Vasco da Gama","Corinthians"
"44","2003-04-17","4","","Coritiba FC","Cruzeiro"
"45","2003-04-18","4","","Fluminense","Internacional"
"46","2003-04-18","4","","São Paulo","Fortaleza"
"47","2003-04-18","4","","Paraná","Goiás EC"
"48","2003-04-19","5","","EC Bahia","Atlético-MG"
"49","2003-04-19","5","","São Caetano","Grêmio"
"50","2003-04-19","5","","Flamengo","Santos FC"
"51","2003-04-20","5","","São Paulo","Vasco da Gama"
"52","2003-04-20","5","","Internacional","Corinthians"
"53","2003-04-20","5","","Criciúma EC","Guarani"
"54","2003-04-20","5","","Juventude","EC Vitória"
"55","2003-04-20","5","","Fortaleza","Atlético-PR"
"56","2003-04-20","5","","Ponte Preta","Paysandu SC"
"57","2003-04-20","5","","Cruzeiro","Goiás EC"
"58","2003-04-20","5","","Fluminense","Paraná"
"59","2003-04-22","5","","Coritiba FC","Figueirense FC"
"60","2003-04-26","6","","Atlético-MG","Coritiba FC"
"61","2003-04-26","6","","Paraná","EC Bahia"
"62","2003-04-26","6","","EC Vitória","Internacional"
"63","2003-04-26","6","","Guarani","Cruzeiro"
"64","2003-04-27","6","","Corinthians","Flamengo"
"65","2003-04-27","6","","Goiás EC","Juventude"
"66","2003-04-27","6","","Figueirense FC","Ponte Preta"
"67","2003-04-27","6","","Santos FC","Fortaleza"
"68","2003-04-27","6","","Grêmio","Fluminense"
